_id,title,URLs,Working Link,Old Links
bioportal-cst,COSTART,https://lod-cloud.net/dataset/bioportal-cst,https://bioportal.bioontology.org/ontologies/COSTART,http://bioportal.bioontology.org/ontologies/1341
bioportal-ctcae,Common Terminology Criteria for Adverse Events,https://lod-cloud.net/dataset/bioportal-ctcae,https://bioportal.bioontology.org/ontologies/CTCAE,http://bioportal.bioontology.org/ontologies/1415
bioportal-ctx,Cerebrotendinous xanthomatosis,https://lod-cloud.net/dataset/bioportal-ctx,https://bioportal.bioontology.org/ontologies/CTX,http://bioportal.bioontology.org/ontologies/3025
bioportal-dc_cl,Dendritic cell,https://lod-cloud.net/dataset/bioportal-dc_cl,,http://bioportal.bioontology.org/ontologies/1144
bioportal-ehdaa,"Human developmental anatomy, abstract version",https://lod-cloud.net/dataset/bioportal-ehdaa,https://bioportal.bioontology.org/ontologies/EHDAA,http://bioportal.bioontology.org/ontologies/1021
bioportal-ehdaa2,"Human developmental anatomy, abstract version, v2",https://lod-cloud.net/dataset/bioportal-ehdaa2,https://bioportal.bioontology.org/ontologies/EHDAA2,http://bioportal.bioontology.org/ontologies/1517
bioportal-ev,eVOC (Expressed Sequence Annotation for Humans),https://lod-cloud.net/dataset/bioportal-ev,https://old.datahub.io/bg/dataset/bioportal-ev,http://bioportal.bioontology.org/ontologies/1013
bioportal-fbbt,Drosophila gross anatomy,https://lod-cloud.net/dataset/bioportal-fbbt,https://bioportal.bioontology.org/ontologies/FB-BT,http://bioportal.bioontology.org/ontologies/1015
bioportal-fhho,Family Health History Ontology,https://lod-cloud.net/dataset/bioportal-fhho,https://bioportal.bioontology.org/ontologies/FHHO,http://bioportal.bioontology.org/ontologies/1126
bioportal-hao,Hymenoptera Anatomy Ontology,https://lod-cloud.net/dataset/bioportal-hao,https://bioportal.bioontology.org/ontologies/HAO,http://bioportal.bioontology.org/ontologies/1362
bioportal-hlth_indics,HEALTH_INDICATORS,https://lod-cloud.net/dataset/bioportal-hlth_indics,https://old.datahub.io/nl/dataset/f6e3c9e6-e3f1-4b8c-b218-bd5f0c700488,http://bioportal.bioontology.org/ontologies/1581
bioportal-hp_x1,Human Phenotype Ontology,https://lod-cloud.net/dataset/bioportal-hp_x1,https://bioportal.bioontology.org/ontologies/HP,http://bioportal.bioontology.org/ontologies/1125
bioportal-icd10,ICD10,https://lod-cloud.net/dataset/bioportal-icd10,https://bioportal.bioontology.org/ontologies/ICD10,http://bioportal.bioontology.org/ontologies/1516
bioportal-icd10cm,ICD10CM,https://lod-cloud.net/dataset/bioportal-icd10cm,https://bioportal.bioontology.org/ontologies/ICD10CM,http://bioportal.bioontology.org/ontologies/1553
bioportal-icd9cm,International Classification of Diseases,https://lod-cloud.net/dataset/bioportal-icd9cm,https://bioportal.bioontology.org/ontologies/ICD9CM,http://bioportal.bioontology.org/ontologies/1101
bioportal-icpc,International Classification of Primary Care,https://lod-cloud.net/dataset/bioportal-icpc,https://bioportal.bioontology.org/ontologies/ICPC2P,http://bioportal.bioontology.org/ontologies/1344
bioportal-icpc2p,ICPC-2 PLUS,https://lod-cloud.net/dataset/bioportal-icpc2p,https://bioportal.bioontology.org/ontologies/ICPC2P,http://bioportal.bioontology.org/ontologies/1429
bioportal-ma,Mouse adult gross anatomy,https://lod-cloud.net/dataset/bioportal-ma,https://bioportal.bioontology.org/ontologies/MA,http://bioportal.bioontology.org/ontologies/1000
bioportal-mat,Minimal anatomical terminology,https://lod-cloud.net/dataset/bioportal-mat,https://bioportal.bioontology.org/ontologies/MAT,http://bioportal.bioontology.org/ontologies/1152
bioportal-mcbcc,Breast tissue cell lines,https://lod-cloud.net/dataset/bioportal-mcbcc,https://bioportal.bioontology.org/ontologies/MCBCC,http://bioportal.bioontology.org/ontologies/1438
bioportal-mccl,Cell line ontology,https://lod-cloud.net/dataset/bioportal-mccl,https://bioportal.bioontology.org/ontologies/CLO,http://bioportal.bioontology.org/ontologies/1541
bioportal-mfo,Medaka fish anatomy and development,https://lod-cloud.net/dataset/bioportal-mfo,https://bioportal.bioontology.org/ontologies/MFO,http://bioportal.bioontology.org/ontologies/1027
bioportal-mp,Mammalian phenotype,https://lod-cloud.net/dataset/bioportal-mp,https://bioportal.bioontology.org/ontologies/MP,http://bioportal.bioontology.org/ontologies/1025
bioportal-mpath,Mouse pathology,https://lod-cloud.net/dataset/bioportal-mpath,https://bioportal.bioontology.org/ontologies/MPATH,http://bioportal.bioontology.org/ontologies/1031
bioportal-ogmd,Ontology of Glucose Metabolism Disorder,https://lod-cloud.net/dataset/bioportal-ogmd,https://bioportal.bioontology.org/ontologies/OGMD,http://bioportal.bioontology.org/ontologies/1085
bioportal-omit,Ontology for MicroRNA Target Prediction,https://lod-cloud.net/dataset/bioportal-omit,,http://bioportal.bioontology.org/ontologies/1505
bioportal-ontoorpha,Orphanet Ontology of Rare Diseases,https://lod-cloud.net/dataset/bioportal-ontoorpha,https://bioportal.bioontology.org/ontologies/ORDO,http://bioportal.bioontology.org/ontologies/1586
bioportal-pko,PKO_Re,https://lod-cloud.net/dataset/bioportal-pko,https://old.datahub.io/it/dataset/bioportal-pko,http://bioportal.bioontology.org/ontologies/1409
bioportal-shr,Student Health Record,https://lod-cloud.net/dataset/bioportal-shr,https://bioportal.bioontology.org/ontologies/SHR,http://bioportal.bioontology.org/ontologies/1665
bioportal-sso,Syndromic Surveillance Ontology,https://lod-cloud.net/dataset/bioportal-sso,https://bioportal.bioontology.org/ontologies/SSO,http://bioportal.bioontology.org/ontologies/1394
bioportal-tao,Teleost Anatomy Ontology,https://lod-cloud.net/dataset/bioportal-tao,https://bioportal.bioontology.org/ontologies/TAO,http://bioportal.bioontology.org/ontologies/1110
