title,id,url
Bilateria anatomy,bioportal-bila,https://old.datahub.io/it/dataset/bioportal-bila
Biomedical Resource Ontology,bioportal-bro_x1,https://bioportal.bioontology.org/ontologies/BRO
Cell type,bioportal-cl,https://bioportal.bioontology.org/ontologies/CL
Clinical Measurement Ontology,bioportal-cmo,https://bioportal.bioontology.org/ontologies/CMO
Cognitive Atlas,bioportal-cogat,https://bioportal.bioontology.org/ontologies/COGAT
Environment Ontology,bioportal-envo,https://bioportal.bioontology.org/ontologies/ENVO
Plant environmental conditions,bioportal-eo,https://old.datahub.io/it/dataset/bioportal-eo
Epilepsy,bioportal-epileponto,https://bioportal.bioontology.org/ontologies/EPILONT
ExO,bioportal-exo,https://bioportal.bioontology.org/ontologies/EXO
FlyBase Controlled Vocabulary,bioportal-fbcv,https://bioportal.bioontology.org/ontologies/FB-CV
Fly taxonomy,bioportal-fbsp,https://bioportal.bioontology.org/ontologies/FB-SP
FDA Medical Devices (2010),bioportal-fda-meddevice,https://old.datahub.io/dataset/bioportal-fda-meddevice
Cereal plant gross anatomy,bioportal-gro_x1,https://bioportal.bioontology.org/ontologies/GRO-CPGA
HCPCS,bioportal-hcpcs,https://bioportal.bioontology.org/ontologies/HCPCS
HUGO,bioportal-hugo,https://bioportal.bioontology.org/ontologies/HGNC
ICD-10-PCS,bioportal-icd10pcs,https://bioportal.bioontology.org/ontologies/ICD10PCS
"International Classification of Functioning, Disability and Health (ICF)",bioportal-icf_x1,https://bioportal.bioontology.org/ontologies/ICF
ICPS Network,bioportal-icps,https://bioportal.bioontology.org/ontologies/ICPS
IxnO,bioportal-ixno,https://bioportal.bioontology.org/ontologies/IXNO
Master Drug Data Base,bioportal-mddb,https://bioportal.bioontology.org/ontologies/MDDB
Measurement Method Ontology,bioportal-mmo,https://bioportal.bioontology.org/ontologies/MMO
Metathesaurus CPT Hierarchical Terms,bioportal-mthch,https://old.datahub.io/dataset/bioportal-mthch
Neomark Oral Cancer-Centred Ontology,bioportal-neomarkontology,https://bioportal.bioontology.org/ontologies/NEOMARK3
Physical Medicine and Rehabilitation,bioportal-pmr,https://bioportal.bioontology.org/ontologies/PMR
Plant Anatomy,bioportal-po,https://bioportal.bioontology.org/ontologies/PAE
Plant Ontology,bioportal-po_x2,https://bioportal.bioontology.org/ontologies/PO
Pathway ontology,bioportal-pw,https://bioportal.bioontology.org/ontologies/PW
Reproductive trait and phenotype ontology,bioportal-repo,https://bioportal.bioontology.org/ontologies/REPO
Role Ontology,bioportal-roleo,https://bioportal.bioontology.org/ontologies/ROLEO
Situation-Based Access Control,bioportal-sitbac,https://bioportal.bioontology.org/ontologies/SITBAC
SoyOntology,bioportal-soy,https://bioportal.bioontology.org/ontologies/SOY
Spider Ontology,bioportal-spd,https://bioportal.bioontology.org/ontologies/SPD
Solanaceae Phenotype Ontology,bioportal-spto,https://bioportal.bioontology.org/ontologies/SPTO
Mosquito gross anatomy,bioportal-tgma,https://bioportal.bioontology.org/ontologies/TGMA
Plant Trait Ontology,bioportal-to,https://bioportal.bioontology.org/ontologies/PTO
TOK_Ontology,bioportal-tok,https://bioportal.bioontology.org/ontologies/TOK
Teleost taxonomy,bioportal-tto,https://bioportal.bioontology.org/ontologies/TTO
Vertebrate Anatomy Ontology,bioportal-vao,https://bioportal.bioontology.org/ontologies/VSAO
VIVO,bioportal-vivo,https://bioportal.bioontology.org/ontologies/VIVO
Vertebrate Trait Ontology,bioportal-vt,https://bioportal.bioontology.org/ontologies/VT
Experimental Conditions Ontology,bioportal-xco,https://bioportal.bioontology.org/ontologies/XCO
Yeast phenotypes,bioportal-ypo,https://old.datahub.io/dataset/bioportal-ypo
MaHCO - An MHC Ontology,bioportal-mhc,https://bioportal.bioontology.org/ontologies/MHC
Tick gross anatomy,bioportal-tads,https://bioportal.bioontology.org/ontologies/TADS
Computational Neuroscience Ontology,bioportal-cno,https://bioportal.bioontology.org/ontologies/CNO
General Formal Ontology,bioportal-gfo,https://bioportal.bioontology.org/ontologies/GFO
Loggerhead nesting,bioportal-lhn,https://bioportal.bioontology.org/ontologies/LHN
Units of measurement,bioportal-uo,https://bioportal.bioontology.org/ontologies/UO
Fission Yeast Phenotype Ontology,bioportal-fypo,https://bioportal.bioontology.org/ontologies/FYPO
chemdb estimated properties dataset,chemdb-estimatedProperties,http://chemdc.casdc.cn/
Bio2RDF::Irefindex,bio2rdf-irefindex,http://irefindex.bio2rdf.org/
Bio2RDF::Ncbigene,bio2rdf-ncbigene,http://ncbigene.bio2rdf.org/
Bio2RDF::Pubmed,bio2rdf-pubmed,http://pubmed.bio2rdf.org/
Bio2RDF::Sgd,bio2rdf-sgd,http://sgd.bio2rdf.org/
